Affiliation,Facility Name,Address,City,State,Zip Code,Phone,Facility Type,Behavioral Health,Dental,Pharmacy,Website
IHS,Albuquerque Indian Dental Center,9169 Coors Rd NW,Albuquerque,NM,87193,505-346-2306,Dental Clinic,No,Yes,No,NULL
Title 1 (Tribal),Pine Hill Health Center,BIA Route 125,Pine Hill,NM,87357,505-775-3271,Health Center,Yes,Yes,Yes,http://www.ihs.gov/FacilitiesServices/areaOffices/albuquerque/index.cfm?module=abq_zuni_ramah_su
Title 1 (Tribal),Ysleta Del Sur Health Station,9314 Juanchido Lane,El Paso,TX,79907,915-858-1076,Health Station,Yes,Yes,No,http://www.ihs.gov/FacilitiesServices/areaOffices/albuquerque/index.cfm?module=abq_ysleta_del_sur_su
Urban,Denver Indian Health and Family Services,"1633 Fillmore St., Suite GL-1",Denver,CO,80206,303-781-4050,Health Center,No,No,No,http://www.dihfs.org
IHS,Cass Lake Hospital,425 7th St NW,Cass Lake,MN,56633,218-335-3270,Hospital,No,No,Yes,NULL
IHS,Red Lake Hospital,24760 Hospital Drive,Red Lake,MN,56671,218-679-3712,Hospital,No,No,Yes,NULL
IHS,Ponemah Health Center,19155 Nodin St,Ponemah,MN,56666,218-679-3712,Health Center,No,No,No,NULL
IHS,White Earth Health Center,25519 State Hwy 224,White Earth,MN,56591,218-983-4300,Health Center,No,No,Yes,NULL
IHS,Pine Point Health Station,Hwy 47 & Hwy 55,Ponsford,MN,56575,218-983-4300,Health Station,No,No,No,NULL
NON-IHS,Hannahville Behavioral Health Program,N15019 Hannahville B-1 Road,Wilson,MI,49896,906-466-2782,Behavioral Health Facility,No,No,No,NULL
NON-IHS,Hannaville Health Center,N15019 Hannahville B-1 Road,Wilson,MI,49896,906-466-2782,Health Center,No,No,Yes,NULL
NON-IHS,White Earth Tribal Health Services,Hwy 224,White Earth,MN,56591,218-983-3286,Health Station,No,No,No,NULL
IHS,Billings Area Alcohol/Substance Abuse Program,2900 4th Ave North,Billings,MT,59101,N/A,NULL,No,No,No,NULL
Title 5 (638),St. Ignatius Health Center,"308 Mission Drive, 51383 Highway 93 North",St. Ignatius,MT,59865,406-676-8778,Health Center,No,No,No,NULL
IHS,Fort Belknap Hospital,669 Main Street,Harlem,MT,59526,406-353-3195,Hospital,No,No,No,http://www.ihs.gov/billings/index.cfm?module=bao_su_ftbelknap
IHS,Rocky Boy Health Center,535 Clinic Rd E,Box Elder,MT,59521,406-395-5100,Health Center,No,No,Yes,NULL
Title 5 (638),Polson Health Center,#5 4th Ave East,Polson,MT,59860,405-745-3396,Health Center,No,No,No,NULL
Title 5 (638),Flathead Tribal Health Center,"308 Mission Drive, 51383 Highway 93 North",St. Ignatius,MT,59865,406-676-8778,Health Center,No,No,No,NULL
Title 5 (638),Elmo Health Station,208 Main St,Elmo,MT,59915,406-745-3525,Health Station,No,No,No,NULL
Title 5 (638),Ronan Health Clinic,26 Round Butte Rd W,Ronan,MT,59864,406-676-8778,Health Center,No,No,No,NULL
Title 5 (638),Arlee Health Station,Arlee Health Station,Arlee,MT,59821,(406) 726-3224,Health Station,No,No,No,NULL
Title 5 (638),Hot Springs,,Hot Springs,MT,59845,406-676-8778,Health Location,No,No,No,NULL
NON-IHS,Flathead Alcohol Program,402 Mission Drive,St. Ignatius,MT,59865,406-676-8778,Other,No,No,No,NULL
Title 5 (638),Rocky Boy Tribal (Chippewa-Cree) Health Center,535 Clinic Rd E,Box Elder,MT,59521,406-395-5100,Health Center,No,No,No,http://www.ihs.gov/billings/index.cfm?module=bao_su_rockyboy
Urban,Indian Family Health Clinic,"1220 Central Avenue, #2-B",Great Falls,MT,N/A,406-268-1587 Ext 16,Health Station,No,No,No,NULL
NON-IHS,Oneida Health Center,525 Airport Rd,Oneida,WI,54155,920-869-2711,Health Center,No,No,Yes,NULL
NON-IHS,Stockbridge-Munsee Health Center,West 12802 County Hwy A,Bowler,WI,54416,715-793-5007,Health Center,No,No,Yes,NULL
NON-IHS,Oneida Chemical Dependency Outpatient Program,2640 West Point Rd,Green Bay ,WI,54313,920-869-2700 x4809,Alcohol Substance Abuse Treatment Facility,No,No,No,NULL
NON-IHS,Nekoosa Field Health Office,916 Chak-Ha-Chee Lane,Nekoosa,WI,54457,715-84-9851,Health Location,No,No,No,NULL
NON-IHS,Black River Falls Health Center,N6520 Guy Rd,Black River Falls,WI,54615,715-84-9851,Health Center,No,No,No,NULL
NON-IHS,Tomah Health Office,27374 Hwy 21,Tomah,WI,54460,715-84-9851,Health Location,No,No,No,NULL
NON-IHS,Wittenberg Field Health Office,N7240 Hwy 45,Wittenberg,WI,54460,715-84-9851,Health Location,No,No,No,NULL
NON-IHS,Nekoosa Field Health Location,916 Chack-Ha-Chee Lane,Nekoosa,WI,54457,715-84-9851,Health Location,No,No,No,NULL
NON-IHS,Stockbridge-Munsee Alcohol Program,West 12802 County Hwy A,Bowler,WI,54416,715-793-5007,Alcohol Substance Abuse Treatment Facility,No,No,No,NULL
Title 5 (638),Jack Brown Center,17091 S Muskogee,Tahlequah,OK,74464,(918) 453-5500,Alcohol Substance Abuse Treatment Facility,No,No,No,http://www.cherokee.org/Services/Health/31870/Information.aspx
Title 5 (638),Choctaw Nation Indian Hospital (Talihina),One Choctaw Way,Talihina,OK,74571,(918) 567-7000 Direct Toll Free 1-800-349-7026,Hospital,Yes,Yes,Yes,http://choctawnationhealth.com/1choctaw-nation-health-care-center.aspx
Title 5 (638),John Anderson Health Center ( Broken Bow),1300 Martin Luther King Drive,Broken Bow,OK,74728,(580) 584-2766,Health Center,No,No,No,NULL
Title 5 (638),Hugo Health Center,410 North M Street,Hugo,OK,74743,(580) 326-7561,Health Center,Yes,Yes,Yes,http://choctawnationhealth.com/hugo-clinic.aspx
Title 5 (638),McAlester Health Center,1127 S George Nigh Expy. ,McAlester,OK,74501,(918) 423-8440,Health Center,Yes,Yes,No,http://choctawnationhealth.com/mcalester-health-clinic.aspx
Title 5 (638),Rubin White Health Center,109 Kerr Ave,Poteau,OK,74953,918-649-1100,Health Center,No,Yes,Yes,NULL
Title 5 (638),Stigler Choctaw Health Center,2204 East Main Street,Stigler,OK,74462,(918) 967-9200,Health Center,Yes,Yes,Yes,NULL
Title 5 (638),Idabel Health Center,902 East Lincoln Road,Idabel,OK,74745,(580) 286-2600,Health Center,Yes,Yes,Yes,NULL
Title 5 (638),Atoka Choctaw Nation Health Center,1201 W Liberty Road,Atoka,OK,74525,(918)-567-7000,Health Center,Yes,No,Yes,http://choctawnationhealth.com/atoka-choctaw-clinic.aspx
Title 5 (638),Tishomingo Indian Health Clinic,815 E 6th St,Tishomingo,OK,73460,580-371-2361 or 877-240-2720,Health Center,Yes,Yes,No,NULL
Title 5 (638),Ardmore Health Center,2510 Chickasaw Blvd.,Ardmore,OK,73401,(580) 226-8181 or (877) 242-4347,Health Center,Yes,Yes,Yes,NULL
Title 5 (638),Durant Indian Health Clinic,1600 N Washington,Durant,OK,74701,580-920-2100,Health Center,No,No,No,NULL
IHS,Peach Springs Indian Health Center,940 Hualapai Way,Peach Springs,AZ,86434,928-669-2137,Health Center,No,No,Yes,http://www.ihs.gov/Phoenix/index.cfm?module=dsp_phx_hf_coloradoRiver
Title 1 (Tribal),Fort Mohave Health Station,1607 Plantation Dr,Mohave Valley,AZ,86440,N/A,Health Station,No,No,No,NULL
Title 1 (Tribal),Chemehuevi Health Station,1970 Palo Verde Drive ,Havasu Lake,CA,92363,(928) 669-3323,Health Station,No,No,No,NULL
IHS,Salt River Health Center,"PHARMACY C/O SRP-MIC WAREHOUSE, 10005 E. OSBORN ROAD",Scottsdale,AZ,85256,480 946-9066,Health Center,No,No,Yes,NULL
Title 1 (Tribal),Gila Bend Health Station,100 North Gila Bend Boulevard,Gila Bend,AZ,85337,928-683-2269,Health Station,No,No,Yes,NULL
IHS,Fort McDermitt Health Station,112 North Reservation Road,McDermitt,NV,89421,(775) 773-2345 x121,Health Station,No,No,No,NULL
Title 1 (Tribal),Shivwits Clinic,6709 West 3700 North,Ivins,UT,84738,N/A,Health Station,No,No,No,NULL
Title 1 (Tribal),Cedar Band Clinic,440 N Paiute Dr,Cedar City,UT,84721,N/A,Health Station,No,No,No,NULL
Title 1 (Tribal),Koosharem Clinic,826 North 100 East,Richfield,UT,84701,N/A,Health Station,No,No,No,NULL
Title 1 (Tribal),Kanosh Clinic,157 North Paiute Dr,Kanosh,UT,84637,N/A,Health Station,No,No,No,NULL
Title 1 (Tribal),Hopi Tribal Guidance Center,1 Main St,Kykotsmovi Village,AZ,86039,N/A,Other,No,No,No,NULL
Title 1 (Tribal),Elko Band Alcohol Center,515 Shoshone Circle,Elko,NV,89801,N/A,Alcohol Substance Abuse Treatment Facility,Yes,No,No,NULL
Title 5 (638),Duckwater Health Station (includes Alcohol Program),511 Duckwater Falls Rd,Duckwater,NV,89314,775-863-0222,Health Station,No,No,No,NULL
Title 5 (638),Newe Medical Clinic,400 A Newe View,Ely,NV,89301,775-289-4133,Health Center,No,No,No,NULL
Title 1 (Tribal),Goshute Health Station,195 Tribal Center Road,Ibapah,UT,84034,435-234-1194,Health Station,No,No,No,NULL
Title 1 (Tribal),Te Moak Diabetes Center,511 Sunset Street,Elko,NV,89801,(775) 738-9251,Other,No,No,No,NULL
Title 1 (Tribal),Fort Mohave Health Center,500 Merriman Avenue,Needles,CA,92363,928-346-4679,Health Center,No,No,Yes,NULL
Title 1 (Tribal),Chemehuevi Alcohol Center,1970 Palo Verde Drive ,Havasu Lake,CA,92363,760-858-5426,Alcohol Substance Abuse Treatment Facility,Yes,No,No,NULL
Title 1 (Tribal),CRIT Tribe Health Center,12033 Agency Road,Parker,AZ,85344,N/A,Health Center,No,No,No,NULL
Title 1 (Tribal),Fort Mohave Alcohol Center,500 Merriman Avenue,Needles,CA,92363,N/A,Alcohol Substance Abuse Treatment Facility,Yes,No,No,NULL
Title 1 (Tribal),Hualapai Guidance Center,921 Hualapai Way,Peach Springs,AZ,86434,N/A,Other,No,No,No,NULL
Title 1 (Tribal),Inchelium Health Center,1221 Moccasin Run,Inchelium,WA,99138,N/A,Health Center,No,No,Yes,NULL
Title 1 (Tribal),Omak Tribal Health Program,617 Benton,Omak,WA,98841,(509) 422-7455,Other,No,No,No,NULL
Title 1 (Tribal),Keller Health Station,39 Shortcut Rd,Inchelium,WA,99138,(509) 722-7006,Health Station,No,No,No,NULL
Title 5 (638),Kootenai Health Station,100 Circle Dr,Bonners Ferry,ID,83805,(208) 267-3519,Health Station,No,No,No,NULL
Title 5 (638),Muckleshoot Tribal Clinic,17500 SE 392nd St,Auburn,WA,98002,(253) 939-6648,Health Center,Yes,Yes,No,NULL
Title 5 (638),Squaxin NW Treatment Ctr (Elma),308 E Young St,Elma,WA,98584,(360) 482-2674,Alcohol Substance Abuse Treatment Facility,No,No,No,NULL
NON-IHS,Sault Saint Marie Tribal Health Center,28641 Ashmun St,Sault Ste Marie,MI,49783,906-632-5257,Health Center,No,No,No,NULL
NON-IHS,Marquette Tribal Community Health Center,"706 Chippewa Square, Suite 206",Marquette,MI,59895,906-632-5257,Health Center,No,No,No,NULL
NON-IHS,NHBP Health Clinic,4415 Byron Center SW,Wyoming,MI,49519,269-729-4422,Health Center,No,No,No,NULL
NON-IHS,Nimkee Memorial Health Center,2591 S Leaton Rd,Mt. Pleasant,MI,48858,989-775-4600,Health Center,No,No,Yes,NULL
NON-IHS,Bay Mills Ellen Marshall Memorial Center,12124 W Lakeshore Drive,Brimley,MI,49715,906-248-8315,Health Center,No,No,Yes,NULL
NON-IHS,Hessel Community Health Center,3355 N. 3 Mile Rd.,Hessel,MI,49745,906-632-5257,Health Center,No,No,No,NULL
NON-IHS,Sault Tribal Center Health Station,2864 Ashmun St,Sault St Marie,MI,49783,906-632-5257,Health Station,No,No,No,NULL
NON-IHS,Pokagon Potawatomi Health Center,57392 M-51 South,Dowagiac,MI,49047,269-782-4141 x31,Health Center,No,No,Yes,NULL
NON-IHS,Manistique Tribal Health Center,6596 W US Hwy 2,Manistique,MI,49854,906-632-5257,Health Center,No,No,No,NULL
NON-IHS,Newberry Community Health Center,4935 Zee Ba Tik Lane,Newberry,MI,49868,906-632-5257,Health Center,No,No,No,NULL
NON-IHS,Min-No-Aya-Win Health Center,927 Trettel Lane,Cloquet,MN,55720,218-879-1227,Health Center,No,No,No,NULL
IHS,Dennehotso Health Station,Highway 160,Dennehotso,AZ,86535,928-658-3377,Health Station,No,No,No,NULL
NON-IHS,Redby Health Station,N/A,Redby,MN,56670,218-679-3316,Health Station,No,No,No,NULL
NON-IHS,Watersmeet Health Center,E23970 Pow Wow Trail,Watersmeet,MI,49969,906-358-4588,Health Center,No,No,No,NULL
Urban,Helena Indian Alliance (HIA),435 N Last Chance Gulch,Helena,MT,59601,406-449-5796,Health Station,No,No,No,NULL
Urban,Missoula Indian Center (MIC),"Building #33, Fort Missoula Road",Missoula,MT,59804,406-829-9515,Health Station,No,No,No,NULL
Urban,"Indian Health Board, Billings",1127 Alderson Avenue,Billings,MT,59102,N/A,Health Station,No,No,No,NULL
Urban,"Indian Health Board, Billings - Alcohol Program",915 Broadwater Square,Billings,MT,59102,N/A,Alcohol Substance Abuse Treatment Facility,No,No,No,NULL
Urban,North American Indian Alliance,55 East Galena,Butte,MT,59701,406-782-0461,Health Station,No,No,No,NULL
Title 5 (638),Torres-Martinez Health Clinic,66-735 Martinez Road,Thermal ,CA,92274,760-397-4476 ,Health Center,Yes,Yes,No,http://www.rsbcihi.org/
IHS,Dzilth Na O-Dith-Hle Health Center,6 Road 7586 (PHS/IHS Drive),Bloomfield,NM,87413,505-960-1801,Health Center,No,Yes,Yes,http://www.ihs.gov/Navajo/index.cfm?module=nao_hcc_dzilth_na_o_dith_hle
IHS,Four Corners Regional Health Center,US Hwy 160 Navajo Route 35,Teec Nos Pos,AZ,86514,928-656-5000,Health Center,No,Yes,Yes,http://www.ihs.gov/Navajo/index.cfm?module=nao_hcc_four_corners
IHS,Toadlena Health Station,N/A,Toadlena,NM,87324,505-789-3281,Health Station,No,No,No,NULL
IHS,Sanostee Health Stattion,N/A,Sanostee,NM,87461,505-723-2484,Health Station,No,No,No,NULL
Title 5 (638),Tuba City Regional Health Care,167 N Main Street & East Elm Ave,Tuba City,AZ,86045,928-283-2501,Hospital,No,Yes,Yes,http://tchealth.org/
Title 5 (638),Dinnebito Health Station,Rocky Ridge School -10 Miles  NE of 264,Tuba City,AZ,86045,928-725-3110,Health Station,No,No,No,NULL
IHS,Many Farms Dental Center,"Highway 191, PHS/IHS Dr",Many Farms,AZ,86538,928-781-3801,Dental Clinic,No,Yes,No,NULL
Private NP,Chilchinbeto Health Clinic,N/A,Chilchinbito,AZ,86033,N/A,Health Station,No,No,No,NULL
Title 5 (638),Winslow Health Center,500 N Indiana Ave,Winslow,AZ,86047,928-289-6233,Health Center,No,No,Yes,http://wihcc.com/
Title 5 (638),Dilkon Health Center,500 N Indiana Ave,Dilkon,AZ,86047,928-657-3800,Health Center,No,Yes,No,NULL
Title 5 (638),Leupp Health Center,"Hwy 99, 28 mi NW of Winslow (PHS/IHS DRIVE)",Leupp,AZ,86035,928-686-6567,Health Center,No,No,No,NULL
Urban,"Native Americans for Community Action, Inc., Family Health Center","2717 North Steves Blvd, Suite 11",Flagstaff,AZ,86004,928-773-1245,Health Center,Yes,No,No,NULL
Title 5 (638),Montezuma Creek Clinic,East Highway 262  Next to LDS Chapel,Montezuma Creek,UT,84534,435-651-3291,Health Center,No,Yes,Yes,NULL
IHS,Claremore Hospital,101 S Moore Avenue (South Moore & Will Rogers Blvd),Claremore,OK,74017,(918) 342-6200,Hospital,Yes,Yes,Yes,http://www.ihs.gov/oklahoma/index.cfm?module=dsp_okao_su_claremore
IHS,Watonga Health Center,"Route 1, Box 34-A",Watonga,OK,73772,(580) 623-4991,Health Center,No,Yes,Yes,NULL
IHS,El Reno Health Center,1631-A East Highway 66,El Reno,OK,73036,(405) 262-7631,Health Center,Yes,Yes,Yes,NULL
Title 5 (638),Prairie Band Potawatomi Substance Abuse,11400 Road 158,Mayetta,KS,66509,(785) 966-2411,Alcohol Substance Abuse Treatment Facility,No,No,No,NULL
Title 5 (638),White Eagle Health Center,200 White Eagle Drive,Ponca City,OK,74601,(580) 765-2501,Health Center,No,Yes,Yes,NULL
Title 1 (Tribal),Perkins Family Clinic,509 East Highway 33,Perkins,OK,74059,(405) 547-2473,Health Center,No,Yes,Yes,http://www.iowanation.org/home/native-services/health-services
NON-IHS,Bad River Health Services Health Center,315 Oak St,Odanah,WI,54861,715-682-7137,Health Center,No,No,No,NULL
NON-IHS,Red Cliff Health Station,88455 Pike Rd,Bayfield,WI,54814,715-779-3707,Health Station,No,No,No,NULL
NON-IHS,St. Croix Health Center,4404 State Rd 70,Webster,WI,54893,715-793-5007,Health Center,No,No,Yes,NULL
NON-IHS,Peter Christensen Health Center,450 Old Abe Rd,Lac du Flambeau,WI,54538,715-588-4266,Health Center,No,No,No,NULL
NON-IHS,Sokaogon Chippewa Health Clinic,3163 State Hwy 55,Crandon,WI,54520,715-478-5185,Health Center,No,No,No,NULL
NON-IHS,Potawatomi Health Center,5409 Everybody's Road,Crandon,WI,54520,218-478-4300,Health Center,No,No,No,NULL
NON-IHS,Prior Lake Health Location,2330 Sioux Trail NW,Prior Lake,MN,55372,952-496-6114,Health Location,No,No,No,NULL
NON-IHS,Prarie Island Family Health Clinic,1158 Island Blvd,Welch,MN,55089,651-385-4113,Health Location,No,No,No,NULL
NON-IHS,Prairie Island Family Service Alcohol Program,1158 Island Blvd,Welch,MN,55089,651-385-4113,Alcohol Substance Abuse Treatment Facility,No,No,No,NULL
NON-IHS,Vermillion Lake Health Station,1610 Farm Rd South,Tower,MN,55790,218-757-3295,Health Station,No,No,No,NULL
NON-IHS,Red Lake Elementary School,Hwy 1,Red Lake,MN,56671,N/A,School Health Center,No,No,No,NULL
NON-IHS,Red Lake High School,P.O. Box 499,Red Lake,MN,56671,N/A,School Health Center,No,No,No,NULL
Title 1 (Tribal),Emergency Services Department,921 Hualapai Way,Peach Springs,AZ,86434,928-769-2656,"Emergency Medical Services, Fire and Animal Control",No,No,No,NULL
Title 1 (Tribal),CRIT Alcohol Substance Abuse Program,921 Hualapai Way,Parker,AZ,86434,N/A,Alcohol Substance Abuse Treatment Facility,Yes,No,No,NULL
Title 1 (Tribal),Yavapai Apache Health Station and Alcohol Center,2400 W Datsi St,Camp Verde,AZ,86322,N/A,Health Station,No,No,No,NULL
Title 5 (638),Ak Chin Health Station,48203 W Farrel Rd,Ak-Chin Village,AZ,85238,520-568-2221,Health Station,No,No,No,NULL
Title 5 (638),Komatke Health Center,17487 S Health Care Drive,Laveen,AZ,85339,520-550-6000,Health Center,No,No,Yes,NULL
Title 5 (638),Black Water Health Station,N/A,Blackwater,AZ,85228,N/A,Health Station,No,No,No,NULL
Title 5 (638),Casa Blanca Health Station,N/A,Bapchule,AZ,85221,N/A,Health Station,No,No,No,NULL
Title 5 (638),San Tan Health Station,N/A,Gilbert,AZ,85234,N/A,Health Station,No,No,No,NULL
Title 1 (Tribal),Walker River Health Center,1025 Hospital Road,Schurz,NV,89427,775-773-2345 ext 161,Health Center,No,No,Yes,http://www.ihs.gov/Phoenix/index.cfm?module=dsp_phx_hf_schurz
Urban,North American Indian Alliance - Alcohol Program,100 East Galena Street,Butte,MT,59701,406-782-0461,Alcohol Substance Abuse Treatment Facility,No,No,No,NULL
Contract Inpatient,Poplar Community Hospital,H St West & Court Ave,Poplar,MT,59255,406-768-6141,Hospital,No,No,No,NULL
Contract Inpatient,Wolf Point Trinity Hospital,315 Knapp St,Wolf Point,MT,N/A,406-653-6579,Hospital,No,No,No,NULL
Contract Inpatient,Lander Hospital,1320 Bishop Randall Drive,Lander,WY,82520,307-335-6360,Hospital,No,No,No,NULL
Title 1 (Tribal),MACT Health Board,52 South Main Street,Angels Camp,CA,95221,209-754-6262,Administration,No,No,No,http://www.macthealthboard.com/
Title 1 (Tribal),Jackson Rancheria Health Center,12140 New York Ranch Road,Jackson,CA,95642, 209-257-2400 ,Health Center,No,Yes,No,http://www.macthealthboard.com/index.html
Title 1 (Tribal),Buffalo Health Station,3 Gates Circle,Buffalo,NY,14209,716-887-4125,Health Station,No,No,No,http://www.sni.org
Title 5 (638),St. Regis Mohawk Health Service,412 State Route 37,Akwesasne,NY,13655,518-358-3141,Health Center,Yes,Yes,Yes,NULL
Title 5 (638),Partridge House,412 State Route 37,Akwesasne,NY,13655,518-358-3141,Psychiatric Inpatient,Yes,No,No,NULL
Title 5 (638),Osage Nation Sub Abuse Prog,715 Grandview,Pawhuska,OK,74056,918-287-5525,NULL,No,No,No,NULL
Title 5 (638),Social Development Center,20 White Eagle Drive,Ponca City,OK,74601,(580) 762-6617,Alcohol Substance Abuse Treatment Facility,No,No,No,NULL
Urban,Oklahoma City Indian Clinic,4913 W Reno ,Oklahoma City,OK,73127,(405) 948-4900,Health Center,Yes,Yes,Yes,www.okcic.com
Title 5 (638),Black Hawk Health Center,356 110 E 930 Rd,Stroud,OK,74079,(918) 968-9531,Health Center,Yes,No,Yes,NULL
Title 5 (638),Little Axe Health Center,15702 E State Hightway 9,Norman,OK,73026,405-447-0300,Health Center,No,No,No,NULL
Title 5 (638),Kickapoo Health Center (McLoud),407 N Highway 102,McLoud,OK,74851,(405) 964-2081,Health Center,Yes,Yes,Yes,NULL
Title 5 (638),Native American Recovery Center,420 N Kickapoo Avenue,Shawnee,OK,74801,(405)275-5270,Alcohol Substance Abuse Treatment Facility,No,No,No,NULL
Title 5 (638),Citizen Potawatomi Health Center,2307 S Gordon Cooper Dr,Shawnee,OK,74801,405-273-5236,Health Center,Yes,Yes,No,http://potawatomi.org/index.php?option=com_content&view=category&id=87:health-services&Itemid=18&layout=default
